信息,位置,报告,受影响用户数量,详细错误信息
executing service                        com.mobile.security.antivirus.applock.wifi/com.ihs.device.permanent.PermanentService,位置：com.ihs.device.permanent.PermanentService,9,8,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/e38470f7&detailsAppVersion=PRODUCTION&detailsSpan=7
executing service                        com.mobile.security.antivirus.applock.wifi/com.ihs.device.permanent.PermanentService,位置：com.ihs.device.permanent.PermanentService,9,4,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/e65e3596&detailsAppVersion=PRODUCTION&detailsSpan=7
Broadcast of Intent { act=android.intent.action.SCREEN_OFF                        flg=0x50000010 },（没有位置信息）,8,6,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/02d2f36b&detailsAppVersion=PRODUCTION&detailsSpan=7
Executing service                        com.mobile.security.antivirus.applock.wifi/com.ihs.device.permanent.PermanentService,位置：com.ihs.device.permanent.PermanentService,8,6,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/09abebe6&detailsAppVersion=PRODUCTION&detailsSpan=7
Input dispatching timed out (Waiting to send non-key event because                        the touched window has not finished processing certain input events that were delivered to it                        over 500.0ms ago. Wait queue length: 6. Wait queue head age: 28722.7ms.). VisibleToUser,位置：com.mobile.security.antivirus.applock.wifi.dto,8,6,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/403c8607&detailsAppVersion=PRODUCTION&detailsSpan=7
Broadcast of Intent { act=android.intent.action.SCREEN_OFF                        flg=0x50200010 (has extras) },（没有位置信息）,8,7,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/832476b5&detailsAppVersion=PRODUCTION&detailsSpan=7
Broadcast of Intent { act=android.intent.action.SCREEN_OFF                        flg=0x50000010 }. VisibleToUser,（没有位置信息）,7,5,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/1d1eb35d&detailsAppVersion=PRODUCTION&detailsSpan=7
executing service                        com.mobile.security.antivirus.applock.wifi/com.ihs.device.permanent.PermanentDaemonService,位置：com.ihs.device.permanent.PermanentDaemonService,7,6,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/45ac0592&detailsAppVersion=PRODUCTION&detailsSpan=7
Input dispatching timed out (Waiting because no window has focus but                        there is a focused application that may eventually add a window when it finishes starting                        up.),位置：com.mobile.security.antivirus.applock.wifi.djp,6,5,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/0e511d24&detailsAppVersion=PRODUCTION&detailsSpan=7
Input dispatching timed out (Waiting to send key event because the                        focused window has not finished processing all of the input events that were previously                        delivered to it. Outbound queue length: 0. Wait queue length: 1.),位置：com.facebook.ads.AudienceNetworkActivity,6,4,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/1aa47cd9&detailsAppVersion=PRODUCTION&detailsSpan=7
Broadcast of Intent { act=android.intent.action.SCREEN_OFF                        flg=0x50000010 },（没有位置信息）,6,6,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/5a0a11fb&detailsAppVersion=PRODUCTION&detailsSpan=7
